ARPU,Internet Usage,Voice Usage,SMS Usage,Customer Segment,Gender,Location,Age,Churn
471,313,394,261,War,F,Chandigarh,65-70,53
158,366,176,136,War,F,Pune,55-60,84
449,231,329,339,War,F,Jaipur,45-50,59
102,324,343,195,Food,M,Delhi,35-40,9
357,364,280,468,War,M,Chandigarh,25-30,4
453,434,458,182,Food,M,Bangalore,20-25,51
494,414,484,413,Banking,M,Chennai,20-25,35
336,470,100,431,Food,F,Chennai,35-40,80
152,466,320,224,Lifestyle,F,Bangalore,45-50,90
497,382,403,120,Banking,F,Delhi,20-25,36
297,112,332,165,Lifestyle,F,Chandigarh,60-65,64
337,144,314,227,War,M,Jaipur,30-35,33
350,371,420,318,Travel,M,Delhi,20-25,49
259,263,342,273,War,M,Mysore,50-55,52
396,462,480,469,Food,M,Bangalore,20-25,38
416,282,492,188,Travel,F,Pune,30-35,68
481,189,490,269,War,F,Bangalore,35-40,4
305,186,313,150,Hacking,M,Chandigarh,20-25,8
238,275,445,330,Banking,M,Mumbai,55-60,13
465,143,136,303,Lifestyle,M,Bangalore,45-50,50
487,162,467,120,Travel,M,Bangalore,20-25,26
434,263,140,191,Banking,M,Delhi,60-65,76
365,367,359,257,Banking,M,Mysore,60-65,2
260,267,102,225,War,M,Pune,40-45,14
230,397,490,213,War,F,Mumbai,40-45,31
472,479,483,402,Hacking,F,Chennai,55-60,95
441,101,215,274,War,M,Jodhpur,60-65,23
295,464,229,451,Food,F,Chennai,65-70,48
236,496,453,269,War,M,Chandigarh,35-40,12
273,125,158,415,Food,F,Mysore,20-25,56
217,262,329,327,Food,M,Jaipur,20-25,0
229,313,252,334,Travel,F,Mysore,30-35,15
224,357,471,103,Travel,F,Mumbai,55-60,1
443,239,490,239,Hacking,M,Mysore,35-40,61
118,492,344,312,Hacking,F,Chennai,35-40,20
137,180,463,228,Lifestyle,F,Pune,20-25,69
441,442,252,493,War,M,Pune,45-50,54
459,120,369,114,War,M,Mumbai,45-50,64
182,283,357,122,Hacking,F,Pune,20-25,98
139,191,281,192,Banking,M,Delhi,35-40,60
476,271,412,378,Travel,F,Mumbai,65-70,71
421,191,220,251,War,F,Chennai,60-65,46
415,395,486,210,War,M,Bangalore,30-35,99
184,171,370,226,Banking,F,Jodhpur,50-55,15
186,358,389,321,War,M,Jaipur,30-35,20
362,297,291,223,Lifestyle,F,Mumbai,55-60,45
352,434,255,291,Food,F,Pune,20-25,96
205,150,370,423,Hacking,M,Chennai,50-55,54
270,312,145,260,Banking,F,Jaipur,55-60,63
274,395,439,392,Banking,F,Chandigarh,45-50,47
364,461,455,264,Hacking,M,Chandigarh,30-35,78
499,307,233,365,Hacking,M,Mysore,45-50,68
498,263,457,210,War,F,Delhi,45-50,26
432,276,301,284,Lifestyle,F,Jaipur,55-60,73
227,318,298,388,Banking,F,Delhi,65-70,96
462,428,253,442,Hacking,M,Chandigarh,45-50,24
199,437,448,388,Hacking,M,Bangalore,20-25,3
474,181,203,486,Travel,M,Jodhpur,55-60,26
367,414,179,445,War,M,Mumbai,55-60,21
202,107,347,489,War,M,Jaipur,55-60,92
353,357,160,429,Banking,F,Jodhpur,50-55,47
241,106,420,132,Hacking,F,Mysore,35-40,8
263,222,118,253,Hacking,F,Bangalore,20-25,24
238,392,182,307,Food,M,Jaipur,20-25,52
250,281,225,331,Food,M,Chandigarh,25-30,15
267,392,356,356,Travel,M,Jaipur,60-65,26
310,363,315,197,War,F,Jaipur,35-40,12
294,150,442,332,Food,F,Pune,35-40,64
138,168,112,483,Banking,M,Pune,60-65,17
460,354,297,454,Travel,F,Delhi,20-25,77
361,249,478,366,Hacking,M,Mumbai,35-40,10
467,357,473,304,Food,F,Jodhpur,35-40,80
169,341,450,277,War,F,Bangalore,50-55,82
346,155,485,190,Hacking,M,Jodhpur,65-70,4
204,256,184,490,Lifestyle,F,Bangalore,30-35,18
180,117,169,462,War,M,Chennai,60-65,13
342,134,241,261,Food,M,Mumbai,50-55,13
129,368,457,154,Food,F,Bangalore,25-30,0
107,212,276,117,Travel,F,Chennai,65-70,81
393,177,322,141,Hacking,M,Bangalore,35-40,7
264,281,234,147,Hacking,F,Bangalore,45-50,96
460,145,311,161,Lifestyle,M,Pune,30-35,69
297,130,367,114,Banking,M,Chandigarh,25-30,92
245,493,238,300,Banking,M,Mumbai,40-45,74
285,269,120,395,Food,M,Jaipur,35-40,85
363,100,466,458,Travel,M,Delhi,50-55,83
353,341,403,468,Banking,M,Chandigarh,25-30,63
295,256,312,262,Hacking,M,Mysore,20-25,41
163,199,320,424,Travel,M,Chennai,30-35,21
477,295,119,416,War,M,Pune,55-60,48
410,496,262,306,Banking,F,Chandigarh,50-55,54
167,470,112,130,War,M,Bangalore,50-55,84
425,354,179,355,Banking,M,Mumbai,30-35,97
258,218,303,187,War,M,Jaipur,25-30,96
176,157,249,360,Food,F,Jodhpur,20-25,90
253,147,157,396,Lifestyle,F,Chandigarh,20-25,25
448,141,151,273,Travel,F,Pune,20-25,65
373,450,432,448,War,M,Chandigarh,60-65,30
342,301,471,154,Banking,F,Chennai,20-25,92
410,297,122,490,Travel,M,Mysore,50-55,9
311,357,143,288,Food,F,Jodhpur,50-55,7
301,357,477,437,Hacking,M,Jaipur,45-50,48
369,229,172,149,Hacking,F,Pune,40-45,43
440,342,308,490,War,M,Pune,40-45,72
153,212,453,469,Food,F,Mumbai,30-35,34
292,124,143,322,Travel,F,Chennai,50-55,77
134,316,415,234,Travel,F,Mumbai,20-25,61
177,336,199,194,War,F,Jodhpur,65-70,82
153,318,436,141,Hacking,M,Chandigarh,35-40,90
280,430,263,166,Hacking,F,Chandigarh,30-35,71
237,422,166,348,War,M,Jodhpur,20-25,69
418,215,180,371,Travel,M,Chennai,20-25,23
340,268,178,473,Travel,M,Jodhpur,55-60,47
168,427,119,147,Food,M,Jaipur,65-70,10
