timestamp,tweet
2020-02-12 17:54:27,"@RAnsari596 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 17:34:10,"@VodafoneIN 4G ka Network hai kahaan ji ??
From past 10mins my Whatsapp msg is stuck!!
Absolutely No Network at all!! Tried refreshing &amp; what not.
Baat karte hain HD Video Calling ki, text msgs pahuncha do vahi bahut hai 😏😒
#Vodafone sucks 👎👎"
2020-02-12 17:33:36,"Nice service by @Airtel_Presence
@airtelnews @airtelindia  When you call to know status they register complaint and give a Time for only 3 days that day never come. #airtelindia #JIO #Vodafone https://t.co/YDlV4xw5ha"
2020-02-12 17:28:43,"@Shreeshekambar Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 17:28:31,RT @FinancialXpress: #Vodafone said that it will look forward to attending the next #MobileWorldCongress. https://t.co/qa4OH8ubhV via @Fina…
2020-02-12 17:27:46,"@nmngupta4 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 17:26:03,#Vodafone said that it will look forward to attending the next #MobileWorldCongress. https://t.co/qa4OH8ubhV via @FinancialXpress
2020-02-12 17:18:25,@Lillylatelee @NessaMcGann Is that the only way I'll get it sorted do you think?? I think dealing with @VodafoneIreland might drive me to drink. There is zero customer service but I bet no one paused my account though I'm almost half way through my monthly allowance  &amp; no phone service  #fail #Vodafone
2020-02-12 17:16:58,"@shivanshnaagar Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 17:11:57,"@parbat_bhatiya Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 17:05:27,"@VodafoneGroup @VodafoneIN 

@vodafonecom 

Tried calling you'll for the last 30mins but seems like you'll don't  have time to connect with your  customers So pls let me know  how can I share my grievances  with you'll  
#complaint #Vodafone #VodafoneIndia #NoReply"
2020-02-12 17:04:27,@VodafoneIreland  what is the point in advertising twitter customer service if you can't respond to a message on the same day?? #unhappycustomer #Vodafone #vodafonedown
2020-02-12 17:00:27,"@dilipchouhanadv Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us if the issue still persists. Regards, #Vodafone"
2020-02-12 16:54:57,"@VodafoneIN,
Is this what you perceive as a genuine 4G LTE connection?
#Vodafone sucks. https://t.co/RKTYnotnCZ"
2020-02-12 16:51:46,@VodafoneIN This what I am getting #Vodafone 4G speed at my place. https://t.co/buvhRWWKen
