timestamp,tweet
2020-02-12 17:34:10,"@VodafoneIN 4G ka Network hai kahaan ji ??
From past 10mins my Whatsapp msg is stuck!!
Absolutely No Network at all… https://t.co/wG7lY1Ka6m"
2020-02-12 17:33:36,"Nice service by @Airtel_Presence
@airtelnews @airtelindia  When you call to know status they register complaint and… https://t.co/AwSgGE8DJK"
2020-02-12 17:28:43,"@Shreeshekambar Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/7K6BQeZwjV"
2020-02-12 17:28:31,RT @FinancialXpress: #Vodafone said that it will look forward to attending the next #MobileWorldCongress. https://t.co/qa4OH8ubhV via @Fina…
2020-02-12 17:27:46,"@nmngupta4 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us… https://t.co/SClXACwb4l"
2020-02-12 17:26:03,#Vodafone said that it will look forward to attending the next #MobileWorldCongress. https://t.co/qa4OH8ubhV via @FinancialXpress
2020-02-12 17:18:25,@Lillylatelee @NessaMcGann Is that the only way I'll get it sorted do you think?? I think dealing with… https://t.co/N6vBwERMLf
2020-02-12 17:16:58,"@shivanshnaagar Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/bhjD0hrnMl"
2020-02-12 17:11:57,"@parbat_bhatiya Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/44qVWJaKzr"
2020-02-12 17:05:27,"@VodafoneGroup @VodafoneIN 

@vodafonecom 

Tried calling you'll for the last 30mins but seems like you'll don't  h… https://t.co/1NXj3y7sVc"
2020-02-12 17:04:27,@VodafoneIreland  what is the point in advertising twitter customer service if you can't respond to a message on th… https://t.co/IWRswURzZE
2020-02-12 17:00:27,"@dilipchouhanadv Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back… https://t.co/JAOqPsvoss"
2020-02-12 16:54:57,"@VodafoneIN,
Is this what you perceive as a genuine 4G LTE connection?
#Vodafone sucks. https://t.co/RKTYnotnCZ"
2020-02-12 16:51:46,@VodafoneIN This what I am getting #Vodafone 4G speed at my place. https://t.co/buvhRWWKen
2020-02-12 16:51:42,"@agcy_1210 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to us… https://t.co/jhjYK8xI28"
2020-02-12 16:48:40,@LoveBling6 @Natanie27403278 @Mommo821 @KenDavi80404473 @voeljegoed #Verichip showed an #behaviour #correction… https://t.co/peqESl6SnM
2020-02-12 16:35:57,"@shilpakatariaa Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/2dmA7LjJI0"
2020-02-12 16:34:26,Dear @VodafoneIN #Vodafone  I am facing internet speed problem from so many days. Currently I m in jaipur malviyana… https://t.co/lVh91xuLkW
2020-02-12 16:33:18,Anyone on #Vodafone get onto your VeryMe rewards section on your app and claim a FREE bottle of Prosecco from… https://t.co/k35IB9jAsS
2020-02-12 16:30:00,"#Vodafone Qatar's #National #Sport Day 2020 activities blend technology &amp; sports
https://t.co/N4kVVJzbw4"
2020-02-12 16:20:49,Still no reply #Vodafone https://t.co/IZiyCIoB22
2020-02-12 16:20:27,"@GaneshSangh Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to u… https://t.co/01JSi0Bq46"
2020-02-12 16:15:49,RT @Halecomms: Thanks for the treats @VodafoneUK. The perks of being a Vodafone Partner!🙂 #Vodafone #freebies #treats #partner #halecomms #…
2020-02-12 16:13:46,"No2 #vodafone I'm still not able to activate a new nowtv subscription, trying to speak to a person, instead of an a… https://t.co/Jhtzyibbcq"
2020-02-12 16:13:27,"@Ujjawal72266944 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back… https://t.co/jBVLkNpZez"
2020-02-12 16:11:13,"No.1 #Vodafone 22 yrs with them, they screw me over for 10mths of a nowtv pass, I honoured the 2 yr contract the be… https://t.co/uWsuDFGljR"
2020-02-12 16:02:21,RT @DailyNewsEgypt: This comes after Saudi Telecom Company (@stc) signed MoU with #Vodafone International to buy 55% of the shares of its s…
2020-02-12 16:02:05,RT @DailyNewsEgypt: Egyptian Competition Authority is studying if @telecomegypt's right of pre-emption to buy #Vodafone's global shares in…
2020-02-12 15:57:47,"@manishkrtiwary Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/pj55aTWHtf"
2020-02-12 15:56:56,This comes after Saudi Telecom Company (@stc) signed MoU with #Vodafone International to buy 55% of the shares of i… https://t.co/7mRBeXlQcB
2020-02-12 15:56:21,Egyptian Competition Authority is studying if @telecomegypt's right of pre-emption to buy #Vodafone's global shares… https://t.co/k38ZaofUMV
2020-02-12 15:44:11,@VodafoneIN But there was no point in discussing anything with you.  You still haven't returned my money back. You… https://t.co/m9pHIecQIk
2020-02-12 15:22:44,"#vodafone 

I'm the CUSTOMERS ur having a bad connectivity in Bangalore RT nagar BHUVANESHWARI nagar can't able to… https://t.co/2qigEWiZHo"
2020-02-12 15:22:11,Great overviews of Vodafone Business Big Bets and MPN Architecture; interesting to see CPaaS as comms enabler in… https://t.co/MP3oFXXmNk
2020-02-12 15:14:56,Hey @VodafoneUK. I've waited all morning for a team to show up to fix my line. It's now 1511 and still no show. Thi… https://t.co/LXsfQ0McmU
2020-02-12 14:52:27,"@jaisabhishek Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back to… https://t.co/bKGAFA1V2c"
2020-02-12 14:50:27,"@arjitdecentguy Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back t… https://t.co/FkYL2dfDlp"
2020-02-12 14:47:48,"RT @VolumeLtd: #TOBi is the Vodafone Digital Assistant (much more than just a Bot!), and TOBi is hosting a 24 hour #Hackathon in the #Vodaf…"
2020-02-12 14:45:03,@VodafoneIN is crafting neat schemes to keep itself afloat. Just charged me INR 3000 to deactivate a plan mere minu… https://t.co/NdXjFtyBUv
2020-02-12 14:40:27,"@AvdheshKumar119 Hi! We’ve not received any response from your end. Hence, we're closing the case. Please get back… https://t.co/B0IedJAA91"
2020-02-12 14:35:14,RT @sdxcentral: Verizon Broadens 5G Lab Footprint to London https://t.co/s9ojtqvCiQ #5g #breakingnews #edgecomputing #ktcorp.(koreatelecom)…
